"site","round","rep","species","start_date","NOTES","date","n_germ"
"GB","1","5","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","5","DC",2020-01-22,NA,2020-02-05,"3"
"GB","1","5","DC",2020-01-22,NA,2020-02-06,"0"
"GB","1","5","DC",2020-01-22,NA,2020-02-07,"0"
"GB","1","6","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","6","DC",2020-01-22,NA,2020-01-22,"0"
"GB","1","6","DC",2020-01-22,NA,2020-01-23,"2"
"GB","1","6","DC",2020-01-22,NA,2020-01-24,"0"
"GB","1","6","DC",2020-01-22,NA,2020-01-25,"16"
"GB","1","6","DC",2020-01-22,NA,2020-01-26,"6"
"GB","1","6","DC",2020-01-22,NA,2020-01-27,"3"
"GB","1","6","DC",2020-01-22,NA,2020-01-28,"0"
"GB","1","6","DC",2020-01-22,NA,2020-01-29,"0"
"GB","1","6","DC",2020-01-22,NA,2020-01-30,"1"
"GB","1","6","DC",2020-01-22,NA,2020-01-31,"2"
"GB","1","6","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","6","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","6","DC",2020-01-22,NA,2020-02-03,"0"
"GB","1","6","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","6","DC",2020-01-22,NA,2020-02-05,"0"
"GB","1","6","DC",2020-01-22,NA,2020-02-06,"0"
"GB","1","6","DC",2020-01-22,NA,2020-02-07,"0"
"GB","1","7","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","7","DC",2020-01-22,NA,2020-01-22,"2"
"GB","1","7","DC",2020-01-22,NA,2020-01-23,"1"
"GB","1","7","DC",2020-01-22,NA,2020-01-24,"0"
"GB","1","7","DC",2020-01-22,NA,2020-01-25,"2"
"GB","1","7","DC",2020-01-22,NA,2020-01-26,"0"
"GB","1","7","DC",2020-01-22,NA,2020-01-27,"4"
"GB","1","7","DC",2020-01-22,NA,2020-01-28,"0"
"GB","1","7","DC",2020-01-22,NA,2020-01-29,"0"
"GB","1","7","DC",2020-01-22,NA,2020-01-30,"3"
"GB","1","7","DC",2020-01-22,NA,2020-01-31,"12"
"GB","1","7","DC",2020-01-22,NA,2020-02-01,"NA"
"GB","1","7","DC",2020-01-22,NA,2020-02-02,"NA"
"GB","1","7","DC",2020-01-22,NA,2020-02-03,"1"
"GB","1","7","DC",2020-01-22,NA,2020-02-04,"0"
"GB","1","7","DC",2020-01-22,NA,2020-02-05,"2"
"GB","1","7","DC",2020-01-22,NA,2020-02-06,"0"
"GB","1","7","DC",2020-01-22,NA,2020-02-07,"4"
"GB","1","8","DC",2020-01-22,NA,2020-01-21,NA
"GB","1","8","DC",2020-01-22,NA,2020-01-22,"0"
"GB","1","8","DC",2020-01-22,NA,2020-01-23,"4"
"GB","1","8","DC",2020-01-22,NA,2020-01-24,"3"
